"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @anilswadeshi: #NPSGoBack #PizzaGate
इस समय आप सड़क पर नहीं आ सकते, कोई बात नहींI घर में रहकर अपना विरोध दर्ज कीजिए और चमत्कार देखिएI आप…",FALSE,0,NA,2020-06-12 08:36:39,FALSE,NA,"1271360754025783297",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mani_1808",41,TRUE,FALSE,NA,NA
"2","RT @PhilliesHippie: PROOF THAT KIDS WERE BEING TORTURES AND RAPED IN UNDERGROUND TUNNELS IN LARGE U.S. CITIES. ELITES WERE HARVESTING THEIR…",FALSE,0,NA,2020-06-12 08:36:38,FALSE,NA,"1271360749579927552",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","YazarTour144",258,TRUE,FALSE,NA,NA
"3","RT @angeelmami: #PizzaGateIsReal 
now how u can explain that?
#PizzaGate #Anonymous https://t.co/qWCiegmxVN",FALSE,0,NA,2020-06-12 08:36:37,FALSE,NA,"1271360748795691009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","n__e__s__s",39,TRUE,FALSE,NA,NA
"4","RT @yvonnewkimani1: Me trying to explain #PizzaGate and everyone involved to my friends and family https://t.co/cj64I09KYn",FALSE,0,NA,2020-06-12 08:36:37,FALSE,NA,"1271360746232983552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amadei_silvia",347,TRUE,FALSE,NA,NA
"5","RT @YourAnonCentral: The goal for #PizzaGate and QAnon, was to destroy the credibility of #OpDeathEaters and those involved in the investig…",FALSE,0,NA,2020-06-12 08:36:16,FALSE,NA,"1271360657284349952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Big_Thor1",712,TRUE,FALSE,NA,NA
"6","RT @explainedtheory: child torture and inside the restaurant #pizzagate 
https://t.co/MXu50gDOzi",FALSE,0,NA,2020-06-12 08:36:15,FALSE,NA,"1271360654008479744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","222aur444",51,TRUE,FALSE,NA,NA
"7","RT @TheKarmaYouNee1: So they won’t let me send through email so here we are #PizzaGateX #Darktruth #pizzagate https://t.co/zw0b5NhsaV",FALSE,0,NA,2020-06-12 08:36:04,FALSE,NA,"1271360607187591174",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","YazarTour144",467,TRUE,FALSE,NA,NA
"8","RT @LSDgoddess: list of hashtags y’all need to go through!!
#Adrenochrome
#PEDOGATE 
#DeepState 
#FRAZZLEDRIP 
#Pedowood
#SpiritCooking
#We…",FALSE,0,NA,2020-06-12 08:35:35,FALSE,NA,"1271360486781534208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ayariwastaken",902,TRUE,FALSE,NA,NA
"9","Good Old Pals... Charlie &amp; Jimmy having a little giggle.
#PIZZAGATE
#PEDOGATE 
#Babylon 
#SaveTheChildren… https://t.co/Faqr8FnGv3",FALSE,0,NA,2020-06-12 08:35:17,TRUE,NA,"1271360411129036803",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PeopletoPower",0,FALSE,FALSE,NA,NA
"10","#pizzagate #PizzaGateIsReal wtf... https://t.co/aSZCmjNPyc",FALSE,1,NA,2020-06-12 08:35:14,FALSE,NA,"1271360397375758337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Femboi_slutt",0,FALSE,FALSE,NA,NA
"11","RT @PhilliesHippie: MEL GIBSON EXPOSING THE #Adrenochrome MARKET IN HOLLYWOOD. 
#obamagate #pizzagate #FRAZZLEDRIP #DrainTheSwamp #spygate…",FALSE,0,NA,2020-06-12 08:35:07,FALSE,NA,"1271360371169738752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bvbblyboba",197,TRUE,FALSE,NA,NA
"12","RT @_WhiteRabbitt_: 675,000 Emails!?

Anthony Wiener Laptop?

If you think #OBAMAGATE is bad, wait till the public hears about #PIZZAGATE .…",FALSE,0,NA,2020-06-12 08:35:01,FALSE,NA,"1271360346184282117",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","paepaepae",5292,TRUE,FALSE,NA,NA
"13","#IStandWithJKRowling #JumatBerkah #JUNKTERRORBILLNOW #JummahMubarak #JISOO #kenyatta #louiesgoingtojailparty… https://t.co/ul2Nb31ncA",FALSE,0,NA,2020-06-12 08:34:15,TRUE,NA,"1271360152566988800",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","paultentena1",0,FALSE,FALSE,NA,NA
