Date,Time,Transaction,Item
2016-10-30,09:58:11,1,Pan
2016-10-30,10:05:34,2,Salmón
2016-10-30,10:05:34,2,Salmón
2016-10-30,10:07:57,3,Chocolate caliente
2016-10-30,10:07:57,3,Jamón
2016-10-30,10:07:57,3,Galletas
2016-10-30,10:08:41,4,Muffin
2016-10-30,10:13:03,5,Café
2016-10-30,10:13:03,5,Pastel
2016-10-30,10:13:03,5,Pan
2016-10-30,10:16:55,6,Medialuna
2016-10-30,10:16:55,6,Pastel
2016-10-30,10:16:55,6,Muffin
2016-10-30,10:19:12,7,Medialuna
2016-10-30,10:19:12,7,Pastel
2016-10-30,10:19:12,7,Café
2016-10-30,10:19:12,7,Te
2016-10-30,10:20:51,8,Pastel
2016-10-30,10:20:51,8,Pan
2016-10-30,10:21:59,9,Pan
2016-10-30,10:21:59,9,Muffin
2016-10-30,10:25:58,10,Salmón
2016-10-30,10:25:58,10,Medialuna
2016-10-30,10:27:21,11,Pan
2016-10-30,10:27:21,11,Medialuna
2016-10-30,10:27:21,11,Pan
2016-10-30,10:27:21,11,NONE
2016-10-30,10:30:14,12,Jamón
2016-10-30,10:30:14,12,Café
2016-10-30,10:30:14,12,Tarta
2016-10-30,10:30:14,12,Pastel
2016-10-30,10:30:14,12,Te
2016-10-30,10:31:24,13,Basket
2016-10-30,10:31:24,13,Pan
2016-10-30,10:31:24,13,Café
2016-10-30,10:32:46,14,Pan
2016-10-30,10:32:46,14,Medialuna
2016-10-30,10:32:46,14,Pastel
2016-10-30,10:34:36,15,NONE
2016-10-30,10:34:36,15,NONE
2016-10-30,10:34:36,15,Agua
2016-10-30,10:34:36,15,Salmón
2016-10-30,10:37:08,16,Pan
2016-10-30,10:37:08,16,Medialuna
2016-10-30,10:37:08,16,Café
2016-10-30,10:38:04,17,Chocolate caliente
2016-10-30,10:41:56,18,Huevos camperos
2016-10-30,10:43:08,19,Huevos camperos
2016-10-30,10:43:08,19,Pan
2016-10-30,10:45:22,20,Pan
2016-10-30,10:45:22,20,Medialuna
2016-10-30,10:49:29,21,Café
2016-10-30,10:49:29,21,Café
2016-10-30,10:49:29,21,Medialuna
2016-10-30,10:49:29,21,Pan
2016-10-30,10:52:15,22,Jamón
2016-10-30,10:53:49,23,Salmón
2016-10-30,10:53:49,23,Muffin
2016-10-30,10:54:33,24,Pan
2016-10-30,10:55:22,25,Salmón
2016-10-30,10:56:08,26,Caramelo
2016-10-30,11:02:19,27,Salmón
2016-10-30,11:03:24,28,Café
2016-10-30,11:03:24,28,Pan
2016-10-30,11:05:30,29,Pan
2016-10-30,11:05:30,29,Jamón
2016-10-30,11:05:30,29,NONE
2016-10-30,11:07:19,30,Pan
2016-10-30,11:12:56,31,Basket
2016-10-30,11:16:15,32,Salmón
2016-10-30,11:16:15,32,Muffin
2016-10-30,11:22:49,33,Café
2016-10-30,11:25:45,34,Café
2016-10-30,11:25:45,34,Muffin
2016-10-30,11:27:34,35,Muffin
2016-10-30,11:27:34,35,Salmón
2016-10-30,11:33:08,36,Te
2016-10-30,11:33:08,36,Pan
2016-10-30,11:37:10,37,Café
2016-10-30,11:37:10,37,Pan
2016-10-30,11:37:10,37,NONE
2016-10-30,11:42:40,38,Pan
2016-10-30,11:42:40,38,Te
2016-10-30,11:44:31,39,Salmón
2016-10-30,11:55:51,40,Zumo
2016-10-30,11:55:51,40,NONE
2016-10-30,11:55:51,40,Tarta
2016-10-30,11:55:51,40,Café
2016-10-30,11:55:51,40,Muffin
2016-10-30,11:57:06,41,Salmón
2016-10-30,11:57:45,42,Pan
2016-10-30,11:57:45,42,Te
2016-10-30,12:00:22,43,Salmón
2016-10-30,12:00:22,43,Caramelo
2016-10-30,12:05:47,44,Café
2016-10-30,12:05:47,44,Medialuna
2016-10-30,12:08:36,45,Café
2016-10-30,12:08:36,45,Chocolate caliente
2016-10-30,12:08:36,45,Medialuna
2016-10-30,12:09:04,46,Café
2016-10-30,12:15:29,47,Bolsas
2016-10-30,12:15:29,47,Zumo
2016-10-30,12:15:29,47,Pan
2016-10-30,12:15:29,47,Muffin
2016-10-30,12:15:29,47,Jamón
2016-10-30,12:17:02,48,Café
2016-10-30,12:23:01,49,Café
2016-10-30,12:23:01,49,Café
2016-10-30,12:23:01,49,Medialuna
2016-10-30,12:25:11,50,Pan
2016-10-30,12:25:11,50,Croissant
2016-10-30,12:26:58,51,Pan
2016-10-30,12:28:07,52,Salmón
2016-10-30,12:33:08,54,Pan
2016-10-30,12:38:06,55,Tortilla
2016-10-30,12:38:06,55,Café
2016-10-30,12:38:06,55,Te
2016-10-30,12:38:06,55,Fruta de temporada
2016-10-30,12:39:27,56,Café
2016-10-30,12:39:27,56,Tortilla
2016-10-30,12:45:48,57,Salmón
2016-10-30,12:59:29,58,Croissant
2016-10-30,12:59:29,58,Chocolate caliente
2016-10-30,12:59:29,58,Te
2016-10-30,12:59:29,58,Sopa
2016-10-30,13:02:04,59,Te
2016-10-30,13:02:04,59,NONE
2016-10-30,13:14:04,60,Galletas
2016-10-30,13:14:04,60,Café
2016-10-30,13:14:04,60,Zumo
2016-10-30,13:14:04,60,Café
2016-10-30,13:15:38,61,Café
2016-10-30,13:24:00,62,Bowls para recoger
2016-10-30,13:24:00,62,Fruta de temporada
2016-10-30,13:24:00,62,Fruta de temporada
2016-10-30,13:24:00,62,Café
2016-10-30,13:24:00,62,Smoothies
2016-10-30,13:24:00,62,Café
2016-10-30,13:33:12,63,Café
2016-10-30,13:34:07,64,Pastel
2016-10-30,13:37:25,65,NONE
2016-10-30,13:37:25,65,Tarta
2016-10-30,13:37:25,65,Yogourt Proteina
2016-10-30,13:37:25,65,Te
2016-10-30,13:37:25,65,Café
2016-10-30,13:40:20,66,Fruta de temporada
2016-10-30,13:40:20,66,Tortilla
2016-10-30,13:40:20,66,Agua
2016-10-30,13:46:48,67,Fruta de temporada
2016-10-30,13:46:48,67,NONE
2016-10-30,13:46:48,67,Agua
2016-10-30,13:46:48,67,Muffin
2016-10-30,13:49:36,68,Tortilla
2016-10-30,13:49:36,68,Café
2016-10-30,13:49:36,68,Te
2016-10-30,13:49:36,68,Salmón
2016-10-30,13:49:36,68,Pollo
2016-10-30,13:51:49,69,Pan
2016-10-30,13:51:49,69,Te
2016-10-30,13:51:49,69,Croissant
2016-10-30,13:54:42,70,Caramelo
2016-10-30,13:56:08,71,Muffin
2016-10-30,14:21:38,72,Café
2016-10-30,14:21:38,72,Pan
2016-10-30,14:22:39,73,Pan
2016-10-30,14:24:03,74,Café
2016-10-30,14:24:03,74,Pan
2016-10-30,14:32:26,75,NONE
2016-10-30,14:32:26,75,Jamón
2016-10-30,14:32:26,75,Tortilla
2016-10-30,14:32:49,76,Café
2016-10-30,14:35:36,77,Salmón
2016-10-30,14:42:29,78,Caramelo
2016-10-30,14:45:44,79,Caramelo
2016-10-30,14:45:44,79,Te
2016-10-30,14:45:44,79,Café
2016-10-30,14:45:44,79,Muffin
2016-10-30,14:48:40,80,Tortilla
2016-10-30,14:48:40,80,Pan
2016-10-30,14:48:40,80,Café
2016-10-31,08:28:31,81,Café
2016-10-31,08:28:31,81,Pastel
2016-10-31,08:47:05,82,Tarta
2016-10-31,08:47:05,82,NONE
2016-10-31,08:47:05,82,Pan
2016-10-31,08:57:47,83,Café
2016-10-31,08:57:47,83,Pan
2016-10-31,09:04:06,84,Pan
2016-10-31,09:10:09,85,Café
2016-10-31,09:10:09,85,Café
2016-10-31,09:10:09,85,Pastel
2016-10-31,09:10:09,85,Medialuna
2016-10-31,09:11:08,86,Zumo
2016-10-31,09:12:56,87,Pan
2016-10-31,09:16:01,88,Café
2016-10-31,09:16:01,88,Café
2016-10-31,09:16:01,88,Jamón
2016-10-31,09:19:41,89,Pan
2016-10-31,09:20:12,90,Pan
2016-10-31,09:20:12,90,Café
2016-10-31,09:22:48,91,Te
2016-10-31,09:22:48,91,NONE
2016-10-31,09:27:11,92,Café
2016-10-31,09:29:23,93,Pan
2016-10-31,09:29:23,93,Coca-Cola
2016-10-31,09:39:09,94,Café
2016-10-31,09:39:09,94,Café
2016-10-31,09:43:37,95,Te
2016-10-31,09:43:37,95,Pastel
2016-10-31,09:43:37,95,Huevos camperos
2016-10-31,09:46:48,96,Pastel
2016-10-31,09:46:48,96,Pastel
2016-10-31,09:46:48,96,Café
2016-10-31,09:46:48,96,Zumo
2016-10-31,09:51:11,97,Café
2016-10-31,09:51:11,97,Pastel
2016-10-31,09:51:11,97,Zumo
2016-10-31,09:52:22,98,Huevos camperos
2016-10-31,09:56:37,99,Pastel
2016-10-31,09:56:37,99,Pastel
2016-10-31,09:56:37,99,Café
2016-10-31,09:56:37,99,Pan
2016-10-31,09:58:06,100,Pan
2016-10-31,10:04:02,101,Café
2016-10-31,10:04:02,101,Pastel
2016-10-31,10:04:44,102,Huevos camperos
2016-10-31,10:07:40,103,NONE
2016-10-31,10:07:40,103,Pan
2016-10-31,10:12:48,104,Café
2016-10-31,10:12:48,104,Café
2016-10-31,10:12:48,104,Medialuna
2016-10-31,10:12:48,104,Muffin
2016-10-31,10:12:48,104,Café
2016-10-31,10:21:29,105,Café
2016-10-31,10:21:29,105,Te
2016-10-31,10:21:29,105,NONE
2016-10-31,10:21:29,105,Pastel
2016-10-31,10:24:21,106,Café
