"=""User Id""","=""Username""","=""Comment Id""","=""Comment Text""","=""Profile URL""","=""Profile Pic URL""","=""Date"""
"=""26063205667""","=""jonathansoto_e""","=""17973645067848493""","=""🤝🏾✌🏾""","=""https://www.instagram.com/jonathansoto_e""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/274035625_310902157684612_4334157361429775057_n.jpg""","=""6/11/2022, 7:58:07"""
"=""26063205667""","=""jonathansoto_e""","=""18059942437316825""","=""Donde estas""","=""https://www.instagram.com/jonathansoto_e""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/274035625_310902157684612_4334157361429775057_n.jpg""","=""6/11/2022, 7:58:48"""
"=""26063205667""","=""jonathansoto_e""","=""18242622562134155""","=""6/7 donde estas por ahora no te encuentro por la iluminaccion.""","=""https://www.instagram.com/jonathansoto_e""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/274035625_310902157684612_4334157361429775057_n.jpg""","=""6/11/2022, 7:59:05"""
"=""26063205667""","=""jonathansoto_e""","=""17954515304189888""","=""Ya 6/7 a la derecha de ruben.""","=""https://www.instagram.com/jonathansoto_e""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/274035625_310902157684612_4334157361429775057_n.jpg""","=""6/11/2022, 7:59:20"""
"=""26063205667""","=""jonathansoto_e""","=""17982582037680033""","=""6/7 genialisimo.""","=""https://www.instagram.com/jonathansoto_e""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/274035625_310902157684612_4334157361429775057_n.jpg""","=""6/11/2022, 7:59:36"""
"=""26063205667""","=""jonathansoto_e""","=""17979261973739539""","=""@prokdts chulisimo""","=""https://www.instagram.com/jonathansoto_e""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/274035625_310902157684612_4334157361429775057_n.jpg""","=""6/11/2022, 8:00:59"""
"=""8973589673""","=""fr.1967s""","=""17958322913301766""","=""@le_saint_avan y cuál es el tu héroe?""","=""https://www.instagram.com/fr.1967s""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/346902256_767105271559720_1527870808328345374_n.jpg""","=""7/11/2022, 22:57:59"""
"=""31682739652""","=""kian_farid1""","=""18190870345211642""","=""@fr.1967s rubius 😍""","=""https://www.instagram.com/kian_farid1""","=""https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/116427275_1149560002078429_7352469076653734268_n.jpg""","=""8/11/2022, 0:56:50"""
"=""48007857973""","=""mendo4fun""","=""17963456195023845""","=""@anthony.daveta Tardisima respuesta pero bueno jajajaja es House, Tech House, Techno, Bass House, etc... Básicamente el género es EDM pero esos serían los subgéneros por así decirlo, saludos.""","=""https://www.instagram.com/mendo4fun""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/312558385_1017614076304605_4860766092664498605_n.jpg""","=""9/11/2022, 17:46:26"""
"=""1519807928""","=""jtavalero""","=""17931648680456923""","=""Xokas ya te pillaremos por Madrid""","=""https://www.instagram.com/jtavalero""","=""https://scontent-mad2-1.cdninstagram.com/v/t51.2885-19/345247369_6084988688289923_8798867839537521248_n.jpg""","=""13/11/2022, 17:13:56"""
